timestamp,doc_id,stage,batch_uuid,pages,images_extracted,images_sent_to_batch,images_downloaded,images_filtered_in,images_filtered_out,images_integrated,duration_seconds,status,notes
2025-10-16T18:05:17.225949,doc_101661,conversion,,69,,,,,,,114.73,success,
2025-10-16T18:05:26.134813,doc_101663,conversion,,4,,,,,,,8.90,success,
2025-10-16T18:09:49.974829,doc_101665,conversion,,177,,,,,,,263.74,success,
2025-10-16T18:09:58.880413,doc_101679,conversion,,5,,,,,,,8.89,success,
2025-10-16T18:11:14.332792,doc_101680,conversion,,49,,,,,,,75.43,success,
2025-10-16T18:11:22.632325,doc_101681,conversion,,4,,,,,,,8.28,success,
2025-10-16T18:11:30.555063,doc_101685,conversion,,4,,,,,,,7.91,success,
2025-10-16T18:21:03.402712,doc_101689,conversion,,244,,,,,,,560.48,success,
2025-10-16T18:22:44.391264,doc_101693,conversion,,42,,,,,,,100.94,success,
2025-10-16T18:30:54.836638,doc_101696,conversion,,224,,,,,,,477.57,success,
2025-10-16T18:32:04.780264,doc_101714,conversion,,60,,,,,,,69.90,success,
2025-10-16T18:33:06.859724,doc_101719,conversion,,46,,,,,,,62.06,success,
2025-10-16T18:33:17.128944,doc_101720,conversion,,2,,,,,,,10.26,success,
2025-10-16T18:33:23.267967,doc_101721,conversion,,3,,,,,,,6.13,success,
2025-10-16T18:33:30.197959,doc_101729,conversion,,3,,,,,,,6.93,success,
2025-10-16T18:33:44.583054,doc_101731,conversion,,2,,,,,,,14.38,success,
2025-10-16T18:34:17.863835,doc_101733,conversion,,20,,,,,,,33.27,success,
2025-10-16T18:34:23.650084,doc_101739,conversion,,2,,,,,,,5.77,success,
2025-10-16T18:35:00.224629,doc_101740,conversion,,23,,,,,,,36.56,success,
2025-10-16T18:35:06.178766,doc_101742,conversion,,2,,,,,,,5.61,success,
2025-10-16T18:35:11.476869,doc_101746,conversion,,1,,,,,,,5.14,success,
2025-10-16T18:35:49.821072,doc_101752,conversion,,28,,,,,,,38.33,success,
2025-10-16T18:36:25.163592,doc_101754,conversion,,23,,,,,,,35.33,success,
2025-10-16T18:36:31.222437,doc_101762,conversion,,3,,,,,,,6.04,success,
2025-10-16T18:36:35.609584,doc_101769,conversion,,1,,,,,,,4.38,success,
2025-10-16T18:37:14.569167,doc_101773,conversion,,30,,,,,,,38.88,success,
2025-10-16T18:37:20.736601,doc_101774,conversion,,3,,,,,,,6.16,success,
2025-10-16T18:38:14.057388,doc_101775,conversion,,38,,,,,,,53.30,success,
2025-10-16T18:38:20.758038,doc_101778,conversion,,3,,,,,,,6.69,success,
2025-10-16T18:38:28.294734,doc_101780,conversion,,4,,,,,,,7.53,success,
2025-10-16T18:38:33.649552,doc_101782,conversion,,2,,,,,,,5.34,success,
2025-10-16T18:39:27.524511,doc_101785,conversion,,39,,,,,,,53.86,success,
2025-10-16T18:40:19.226652,doc_101786,conversion,,35,,,,,,,51.68,success,
2025-10-16T18:40:25.263975,doc_101792,conversion,,3,,,,,,,6.03,success,
2025-10-16T18:45:45.056245,doc_101797,conversion,,64,,,,,,,319.77,success,
2025-10-16T18:47:29.891125,doc_101799,conversion,,53,,,,,,,104.81,success,
2025-10-16T18:47:36.748218,doc_101802,conversion,,3,,,,,,,6.85,success,
2025-10-16T18:47:42.818650,doc_101805,conversion,,3,,,,,,,6.07,success,
2025-10-16T18:48:23.452496,doc_101808,conversion,,28,,,,,,,40.62,success,
2025-10-16T18:49:22.904413,doc_101810,conversion,,45,,,,,,,59.44,success,
2025-10-16T18:51:00.726092,doc_116506,conversion,,56,,,,,,,97.80,success,
2025-10-16T18:52:29.819618,doc_116509,conversion,,54,,,,,,,89.07,success,
2025-10-16T18:53:05.017216,doc_116510,conversion,,19,,,,,,,35.18,success,
2025-10-16T18:54:47.248246,doc_116514,conversion,,60,,,,,,,102.20,success,
2025-10-16T18:56:56.733114,doc_116515,conversion,,67,,,,,,,128.81,success,
2025-10-16T18:57:34.929761,doc_116516,conversion,,18,,,,,,,38.17,success,
2025-10-16T18:59:07.088486,doc_116518,conversion,,55,,,,,,,92.13,success,
2025-10-16T18:59:14.032287,doc_116528,conversion,,3,,,,,,,6.93,success,
2025-10-16T19:05:47.626954,doc_116529,conversion,,104,,,,,,,375.33,success,
2025-10-16T19:05:58.596616,doc_116530,conversion,,3,,,,,,,10.94,success,
